Latitude,Longitude,Altitude,Speed,Course,Date,Time (UTC),Satellites,SSID,Power,Channel,Encryption,BSSID
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,WiFi-Arnet-601589,-71,1,WPA (CCMP),C4:EA:1D:60:15:89
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi706 2.4GHz,-75,1,WPA (TKIP),1C:49:7B:3F:1E:71
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi333 2.4GHz,-69,1,AUTO,60:14:B3:37:22:D0
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,sofia,-70,1,AUTO,48:F8:B3:19:8E:88
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,TP-LINK_959D50,-79,1,WPA (CCMP),10:FE:ED:95:9D:50
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,LUIS SARMIENTO's Network,-72,2,AUTO,00:26:B0:FE:E2:FD
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,LUIS SARMIENTO's Guest Network,-72,2,AUTO,06:26:B0:FE:E2:FD
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,CASA,-76,5,AUTO,94:44:52:FE:D4:E2
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi317,-70,1,WPA (TKIP),14:5B:D1:40:7D:F9
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,CHR,-71,6,WPA (TKIP),00:18:E7:54:82:45
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,ayoung123,-74,6,WPA (TKIP),A4:7A:A4:89:5A:6F
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi934 2.4GHz,-76,6,AUTO,60:14:B3:08:C2:B0
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi625 2.4GHz,-78,6,AUTO,C8:3D:D4:DC:94:C0
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,martin84,-77,6,WEP,D4:D1:84:C0:03:AE
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,EMI-RACING,-80,6,AUTO,F8:35:DD:5F:44:53
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi366 ,-86,6,AUTO,8C:10:D4:FA:FA:DA
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi273 2.4GHz,-77,6,AUTO,78:45:61:DE:88:50
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,TeleCentro-0a54,-80,6,WPA (CCMP),F4:6B:EF:CE:0A:59
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi 454 2.4GHz,-77,6,WPA (TKIP),1C:49:7B:3F:2E:CB
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi578,-85,6,WPA (TKIP),94:CC:B9:7D:B8:28
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Bendersky Wi Fi,-74,6,AUTO,C8:3D:D4:C7:AF:A0
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Mijal's Guest Network,-89,6,AUTO,36:CE:6E:07:98:10
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,mika time capsule,-87,6,WPA (CCMP),34:12:98:07:6E:CE
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,diego07,-88,6,WPA (TKIP),C0:4A:00:94:D0:7E
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,New Print,-82,6,WPA (CCMP),00:21:29:88:A3:DA
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,JEYY,-89,6,WPA (CCMP),00:1E:E5:34:41:6A
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Mingus,-78,1,AUTO,08:3E:5D:4C:05:7E
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Telecentro-90b0,-79,7,AUTO,F8:AB:05:61:90:B6
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Telecentro-c538,-85,7,AUTO,8C:10:D4:89:C5:3E
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,TirasteGasAbandonaste,-81,1,WPA (CCMP),B8:EE:0E:48:A0:2E
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,TeleCentro Wifi Zone,-69,8,NONE,84:18:3A:03:2C:48
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,MRC,-85,8,AUTO,F8:1A:67:FC:D0:23
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,WiFi-Arnet-D5AC,-82,8,WPA (CCMP),A4:5D:A1:8A:D5:AD
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,WiFi-Arnet-8s30,-80,9,WPA (CCMP),4C:9E:FF:25:86:30
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,telecentro-marina,-91,9,AUTO,24:7F:20:08:0D:46
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi471 2.4GHz,-78,1,AUTO,A0:8E:78:6B:E3:46
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Telecentro-b4b0,-83,10,AUTO,A4:08:F5:1C:B4:B6
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,CASA WI FI,-80,10,WPA (CCMP),F4:F2:6D:9B:C6:F7
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Juan Wifi,-78,11,WPA (CCMP),2C:9E:5F:1C:28:07
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,VIRUS 2.4GHz,-75,11,AUTO,78:45:61:D8:CD:D0
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Telecentro-7be0,-75,11,AUTO,8C:10:D4:89:7B:E6
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Alejo 2.4GHz,-76,11,AUTO,60:14:B3:22:0A:70
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Mar Bravo,-80,11,WPA (TKIP),A4:7A:A4:82:A8:05
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi127 2.4GHz,-82,11,AUTO,60:14:B3:06:EA:D0
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,KAYROS,-82,11,AUTO,60:14:B3:25:64:00
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Telecentro-99f0,-82,11,AUTO,8C:10:D4:89:99:F6
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,DI JIN WIFI,-82,11,AUTO,0C:54:A5:C1:DA:62
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi824,-89,11,AUTO,F8:35:DD:33:4D:63
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,UP-WiFi,-87,11,NONE,2A:A4:3C:7D:DD:CB
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Fibertel WiFi027,-86,11,AUTO,20:25:64:78:59:F2
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Lo de Gab,-82,1,AUTO,0C:54:A5:F7:6D:28
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,WiFi-Arnet-rz1s,-80,1,WPA (CCMP),50:01:D9:0B:9C:90
-34.596241,-58.415327,28.2,1.1,226.7,10/3/2017,18:12:59,6,Õ,0,0,NONE,47:97:9F:02:00:00
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,TP-LINK_959D50,-81,1,WPA (CCMP),10:FE:ED:95:9D:50
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,SUPER MARIO ,-81,1,AUTO,B8:F8:83:84:26:66
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,Mingus,-82,1,AUTO,08:3E:5D:4C:05:7E
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,Fibertel WiFi199 2.4GHz,-81,1,AUTO,18:1E:78:CC:6D:BF
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,UP-Portal,-83,1,NONE,2E:A4:3C:7D:DD:AF
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,WiFi-Arnet-syf5,-84,1,WPA (TKIP),EC:CB:30:34:3C:4A
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,Telecentro-6fad,-84,1,AUTO,7C:B7:33:2A:6F:B3
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,sofia,-62,1,AUTO,48:F8:B3:19:8E:88
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,WiFi-Arnet-74db,-80,1,WPA (CCMP),28:28:5D:55:AC:40
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,Fibertel WiFi706 2.4GHz,-77,1,WPA (TKIP),1C:49:7B:3F:1E:71
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,Fibertel WiFi317,-69,1,WPA (TKIP),14:5B:D1:40:7D:F9
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,WiFi-Arnet-601589,-74,1,WPA (CCMP),C4:EA:1D:60:15:89
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,UP-WiFi,-80,1,NONE,2A:A4:3C:7D:DD:AF
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,LUIS SARMIENTO's Guest Network,-73,2,AUTO,06:26:B0:FE:E2:FD
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,Fibertel WiFi884 2.4GHz,-80,1,AUTO,24:7F:20:9C:4E:48
-34.596258,-58.415366,35.6,0.2,226.7,10/3/2017,18:13:6,6,Lo de Gab,-81,1,AUTO,0C:54:A5:F7:6D:28
